row_number,url,status,path,error
90,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/8957749a06321cf4f937eacd47923273.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00090_2d3952ac8132.webp,
91,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/2ab97b53f928dae83f5afbe1929f9ea7.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00091_b15f1f8d8b20.webp,
91,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/bcc2d8d06e8ddab2fc17b13f715aed8a.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00091_ae49ba769e40.webp,
91,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/bee088e4b94ea182630e81c5f1450464.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00091_d8aa4f5d40bd.webp,
92,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/c93dffd218791c857eb1dab77768db13.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00092_7504413b4d05.webp,
93,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/18308821126fc5a17a45ebc38104bba8.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00093_0dca99512f42.webp,
94,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/09273791fe8d13a30e86130d98cc5544.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00094_2c1820e972a6.webp,
95,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/47b04f79bf173edca507960668bba4b5.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00095_6efa79632c95.webp,
96,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/cbe68e0da8e79510b921da200f3d9fc4.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00096_ca08b57b7765.webp,
97,https://uat-smdp4cust-cdn.globaltradecoo.com/CustomerComponent/9f9d2934aebe9edb3f2dc152ecfa3dba.webp,downloaded,/Users/guobiao/PRO/me/yoloExample/datasets/softcare/raw/images/row00097_d3dd8d2a9b9c.webp,
